SN,Program,Type,Author By,Title,Link to Article,Link,Published Date,Updated By,Column1
34,,Plan,NPC,Annual Development Programs and Budget Allocation in the Districts 2068/69,https://www.npc.gov.np/images/category/YDPPart2068-69.pdf,Annual Development Programs and Budget Allocation in the Districts 2068/69,2011,,
35,,Plan,NPC,Annual Development Programs 2067/68 (Part-1),https://www.npc.gov.np/images/category/YDPPart1_067_68.pdf,Annual Development Programs 2067/68 (Part-1),2010,,
36,,Plan,NPC,Annual Development Programs and Budget Allocation in the Districts 2067/68,https://www.npc.gov.np/images/category/YDPpart2_067_68.pdf,Annual Development Programs and Budget Allocation in the Districts 2067/68,2009,,
37,,Plan,MOE,SSDP Nepali,"https://moe.gov.np/assets/uploads/files/SSDP_Book_Nepali_July_5,_20171.pdf",SSDP Nepali,2017,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
